"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 02 11:57:02 UTC 2023","Tue May 02 11:57:02 UTC 2023","1","Default Suite","firstseleniumproject","com.lambdatest.TestNGRelativeLocator","com.lambdatest.TestNGRelativeLocator","testNGRelativeLocator","testNGRelativeLocator",""
"broken","Tue May 02 11:57:02 UTC 2023","Tue May 02 11:57:02 UTC 2023","2","Default Suite","firstseleniumproject","com.lambdatest.TestNGRelativeLocator","com.lambdatest.TestNGRelativeLocator","setup","setup",""
"broken","Tue May 02 12:11:22 UTC 2023","Tue May 02 12:11:39 UTC 2023","17827","Default Suite","firstseleniumproject","seleniumallure","seleniumallure","googlesearch3","googlesearch3",""
"passed","Tue May 02 12:11:18 UTC 2023","Tue May 02 12:11:20 UTC 2023","2164","Default Suite","firstseleniumproject","seleniumallure","seleniumallure","googlesearch","googlesearch",""
"passed","Tue May 02 12:11:20 UTC 2023","Tue May 02 12:11:22 UTC 2023","1638","Default Suite","firstseleniumproject","seleniumallure","seleniumallure","googlesearch2","googlesearch2",""
"passed","Tue May 02 12:11:08 UTC 2023","Tue May 02 12:11:18 UTC 2023","9888","Default Suite","firstseleniumproject","seleniumallure","seleniumallure","amazonsearch","amazonsearch",""
